Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
19750	-2402.535624258472	-2388.1929232332413	-14.342701025230557	0.25954823710637925	5.4361892081501875	8062.244934809869
19800	-2401.6172199871785	-2387.7640011252056	-13.853218861972715	0.08496407312429342	6.114520793189204	15187.764941241356
19850	-2402.1221252270834	-2387.435812591151	-14.686312635932488	0.18045428555822626	6.851889067914567	11669.051658372808
19900	-2402.8040413403496	-2388.3754381251697	-14.428603215179866	0.2828755007847612	5.100293531833159	5103.220477086335
19950	-2405.089515832699	-2387.3719260882954	-17.717589744403373	0.5134930886769301	5.288647653056256	25898.154990437797
20000	-2402.6782061897757	-2387.7913096550888	-14.88689653468688	0.12052043423834281	5.520408814845857	32973.9522060024
20050	-2403.831033233971	-2387.384838313215	-16.446194920756312	0.35736289282031625	5.6911550533487665	32973.9522060024
20100	-2403.441592205974	-2388.6306981733483	-14.810894032625432	0.08198244113931286	5.660216420945799	35976.98804806271
20150	-2403.1394364744365	-2387.6690695566112	-15.470366917825029	0.11789754540978684	6.482562613634672	58004.90849959746
20200	-2402.8169858849683	-2387.4314706085943	-15.385515276373944	0.03430867363628273	6.277918352293216	51726.59395699035
20250	-2402.2629599845936	-2388.463056067938	-13.799903916655888	0.11474754135312511	6.104567739507134	13448.114746666748
20300	-2399.381278884972	-2388.381604387688	-10.999674497283447	0.058472925354701326	6.487777514738814	721.7613551102019
20350	-2397.7331248392434	-2387.377827013032	-10.355297826211444	0.01285213640954066	6.828781512760824	116.59371059793561
20400	-2398.0462300476693	-2389.493050747173	-8.553179300496126	0.062484492011712855	6.120904504214969	73.9743238951896
20450	-2398.1750103523077	-2387.412423454153	-10.762586898154698	0.22589798695390717	6.53630111074666	228.13211170920056
20500	-2399.2162210635315	-2387.6743493426516	-11.541871720880103	0.3123893316794501	6.670990538134381	181.28467386661677
20550	-2398.2645916470656	-2387.4687319697878	-10.79585967727784	0.36277591591026626	5.749619221798195	110.77951191189014
20600	-2401.103815742282	-2388.9710427636373	-12.132772978645015	0.23908348310670952	6.033592237816985	1150.958286768312
20650	-2400.4974146066966	-2388.7584416457084	-11.738972960988082	0.23908348310670952	5.538724716957544	747.3010191180438
20700	-2402.2273598015668	-2389.591177884747	-12.636181916819439	0.22157820607078452	5.474362025017809	1962.8467776744815
20750	-2401.953972083506	-2387.9005002611684	-14.053471822337386	0.22157820607078452	7.182245561657947	2505.0351056049926
20800	-2400.1823012383334	-2387.982925663833	-12.199375574500307	0.07682587746054324	5.5922847864641465	2505.0351056049926
20850	-2402.519168963335	-2388.598750473387	-13.920418489947643	0.15048240109528385	6.569218442049251	9441.62247495313
20900	-2403.7167015409223	-2387.4622195801626	-16.254481960759463	0.19832538281126613	6.465423689214825	74964.58375366621
20950	-2405.9942140006483	-2390.4125457711607	-15.581668229487661	0.19832538281126613	5.682824134367584	49690.81492492674
21000	-2405.3128287425666	-2387.5476319325157	-17.765196810050632	0.35864819387961305	5.757560955694243	121101.46708878814
21050	-2404.949738455156	-2387.899036800694	-17.050701654462152	0.35864819387961305	5.075316904530345	38891.73392703749
21100	-2404.8989274411733	-2388.289471115193	-16.609456325980354	0.1591190321451244	5.20993330883219	111220.86193994562
21150	-2404.8589635721455	-2387.8997116529786	-16.95925191916683	0.16787269751613407	6.5991061353998175	168746.95867821033
21200	-2407.746827655077	-2388.7735328573685	-18.973294797708686	0.10236643540326125	6.614851660997372	1836860.7807324987
21250	-2406.0318446281735	-2387.364775606793	-18.66706902138038	0.17616315673091612	6.372981385223712	1073236.8235187863
21300	-2406.039089013802	-2387.360978993328	-18.67811002047373	0.08868245827556843	5.355851131666695	1290324.705258973
21350	-2408.033986018055	-2389.3315276636017	-18.702458354453277	0.037675866208465345	5.8715090007824475	1506708.3193977142
21400	-2405.841448986707	-2389.807129141059	-16.03431984564805	0.09415002339568661	4.950983095642609	44729.96019524698
21450	-2404.574242119979	-2388.030604192438	-16.543637927540715	0.09527298916021035	5.748996943667631	212229.27351202955
21500	-2406.7292322619305	-2387.8600897362844	-18.869142525646325	0.2681658590541159	6.702456431485512	413405.33444537636
21550	-2408.59852701993	-2387.332798979445	-21.265728040484603	0.4718237466488675	6.922705442619055	325367.86142967385
21600	-2407.48795625954	-2387.3354128912083	-20.152543368331852	0.47895879560506255	5.712952682005268	433969.66076896
21650	-2406.3173411827843	-2387.447797870583	-18.869543312201024	0.43967614544219263	5.353653581557723	164581.17852078148
